value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,zh-cn,notes
Recolor Art Dialog,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Recolor Artwork...,Bearbeiten > Farben bearbeiten > Bildmaterial neu färben …,Редактирование > Редактировать цвета > Перекрасить графический объект...,,
Adjust3,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Adjust Color Balance...,Bearbeiten > Farben bearbeiten > Farbbalance einstellen …,Редактирование > Редактировать цвета > Коррекция цветового баланса...,,
Colors3,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Blend Front to Back,Bearbeiten > Farben bearbeiten > Vorne -> Hinten angleichen,Редактирование > Редактировать цвета > Переход от верхнего к нижнему,,
Colors4,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Blend Horizontally,Bearbeiten > Farben bearbeiten > Horizontal angleichen,Редактирование > Редактировать цвета > Переход по горизонтали,,
Colors5,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Blend Vertically,Bearbeiten > Farben bearbeiten > Vertikal angleichen,Редактирование > Редактировать цвета > Переход по вертикали,,
Colors8,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Convert to CMYK,Bearbeiten > Farben bearbeiten > In CMYK konvertieren,Редактирование > Редактировать цвета > Преобразовать в CMYK,,
Colors7,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Convert to Grayscale,Bearbeiten > Farben bearbeiten > In Graustufen konvertieren,Редактирование > Редактировать цвета > Преобразовать в градации серого,,
Colors9,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Convert to RGB,Bearbeiten > Farben bearbeiten > In RGB konvertieren,Редактирование > Редактировать цвета > Преобразовать в RGB,,
Generative Recolor Art Dialog,FALSE,menu,TRUE,TRUE,27.6,,Edit > Edit Colors > Generative Recolor,Bearbeiten > Farben bearbeiten > Generative Neufärbung,,,
Colors6,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Invert Colors,Bearbeiten > Farben bearbeiten > Farben invertieren,Редактирование > Редактировать цвета > Негатив,,
Overprint2,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Overprint Black...,Bearbeiten > Farben bearbeiten > Schwarz überdrucken …,Редактирование > Редактировать цвета > Наложение черного цвета...,,
Saturate3,FALSE,menu,TRUE,TRUE,,,Edit > Edit Colors > Saturate...,Bearbeiten > Farben bearbeiten > Sättigung erhöhen …,Редактирование > Редактировать цвета > Изменить насыщенность...,,
EditOriginal Menu Item,FALSE,menu,TRUE,TRUE,,,Edit > Edit Original,Bearbeiten > Original bearbeiten,Редактирование > Редактировать оригинал,,
Transparency Presets,FALSE,menu,FALSE,FALSE,,,Edit > Transparency Flattener Presets...,Bearbeiten > Transparenzreduzierungsvorgaben …,Редактирование > Стили обработки прозрачности...,,
Print Presets,FALSE,menu,FALSE,FALSE,,,Edit > Print Presets...,Bearbeiten > Druckvorgaben …,Редактирование > Стили печати...,,
PDF Presets,FALSE,menu,FALSE,FALSE,,,Edit > Adobe PDF Presets...,Bearbeiten > Adobe PDF-Vorgaben …,Редактирование > Стили преобразования в Adobe PDF...,,
PerspectiveGridPresets,FALSE,menu,FALSE,FALSE,,,Edit > Perspective Grid Presets...,Bearbeiten > Vorgaben für Perspektivenraster …,Редактирование > Стили сетки перспективы...,,
color,FALSE,menu,FALSE,FALSE,,,Edit > Color Settings...,Bearbeiten > Farbeinstellungen …,Редактирование > Настройка цветов...,,
assignprofile,FALSE,menu,TRUE,FALSE,,,Edit > Assign Profile...,Bearbeiten > Profil zuweisen …,Редактирование > Назначить профиль...,,
KBSC Menu Item,FALSE,menu,FALSE,FALSE,,,Edit > Keyboard Shortcuts...,Bearbeiten > Tastaturbefehle …,Редактирование > Комбинации клавиш...,,
SWFPresets,FALSE,menu,FALSE,FALSE,22,25.9,Edit > SWF Presets...,Bearbeiten > SWF-Vorgaben …,,,
TouchPref,TRUE,menu,FALSE,FALSE,,,Edit > Preferences > Touch Workspace,,,,
transformagain,FALSE,menu,TRUE,TRUE,,,Object > Transform > Transform Again,Objekt > Transformieren > Erneut transformieren,Объект > Трансформировать > Повторить трансформирование,,
transformmove,FALSE,menu,TRUE,TRUE,,,Object > Transform > Move...,Objekt > Transformieren > Verschieben …,Объект > Трансформировать > Перемещение...,,
transformrotate,FALSE,menu,TRUE,TRUE,,,Object > Transform > Rotate...,Objekt > Transformieren > Drehen …,Объект > Трансформировать > Поворот...,,
transformreflect,FALSE,menu,TRUE,TRUE,,,Object > Transform > Reflect...,Objekt > Transformieren > Spiegeln …,Объект > Трансформировать > Зеркальное отражение...,,
transformscale,FALSE,menu,TRUE,TRUE,,,Object > Transform > Scale...,Objekt > Transformieren > Skalieren …,Объект > Трансформировать > Масштабирование...,,
transformshear,FALSE,menu,TRUE,TRUE,,,Object > Transform > Shear...,Objekt > Transformieren > Verbiegen …,Объект > Трансформировать > Наклон...,,
Transform v23,FALSE,menu,TRUE,TRUE,,,Object > Transform Each...,Objekt > Transformieren > Einzeln transformieren …,Объект > Трансформировать > Трансформировать каждый...,,
AI Reset Bounding Box,FALSE,menu,TRUE,TRUE,,,Object > Transform > Reset Bounding Box,Objekt > Transform > Begrenzungsrahmen zurücksetzen,Объект > Трансформировать > Восстановить настройки по умолчанию ограничительной рамки,,
sendToFront,FALSE,menu,TRUE,TRUE,,,Object > Arrange > Bring to Front,Objekt > Anordnen > In den Vordergrund,Объект > Монтаж > На передний план,,
sendForward,FALSE,menu,TRUE,TRUE,,,Object > Arrange > Bring Forward,Objekt > Anordnen > Schrittweise nach vorne,Объект > Монтаж > На задний план,,
sendBackward,FALSE,menu,TRUE,TRUE,,,Object > Arrange > Send Backward,Objekt > Anordnen > Schrittweise nach hinten,Объект > Монтаж > Переложить вперед,,
sendToBack,FALSE,menu,TRUE,TRUE,,,Object > Arrange > Send to Back,Objekt > Anordnen > In den Hintergrund,Объект > Монтаж > Переложить назад,,
Selection Hat 2,FALSE,menu,TRUE,TRUE,,,Object > Arrange > Send to Current Layer,Objekt > Anordnen > In aktuelle Ebene verschieben,Объект > Монтаж > Отправить на текущий слой,,
Horizontal Align Left,FALSE,menu,TRUE,FALSE,24,,Object > Align > Horizontal Align Left,Objekt > Ausrichten > Horizontal links ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, влево",,
Horizontal Align Center,FALSE,menu,TRUE,FALSE,24,,Object > Align > Horizontal Align Center,Objekt > Ausrichten > Horizontal zentriert ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, центр",,
Horizontal Align Right,FALSE,menu,TRUE,FALSE,24,,Object > Align > Horizontal Align Right,Objekt > Ausrichten > Horizontal rechts ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, вправо",,
Vertical Align Top,FALSE,menu,TRUE,FALSE,24,,Object > Align > Vertical Align Top,Objekt > Ausrichten > Vertikal oben ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вверх",,
Vertical Align Center,FALSE,menu,TRUE,FALSE,24,,Object > Align > Vertical Align Center,Objekt > Ausrichten > Vertikal zentriert ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, центр",,
Vertical Align Bottom,FALSE,menu,TRUE,FALSE,24,,Object > Align > Vertical Align Bottom,Objekt > Ausrichten > Vertikal unten ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вниз",,
Vertical Distribute Top,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Vertical Distribute Top,,,,
Vertical Distribute Center,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Vertical Distribute Center,,,,
Vertical Distribute Bottom,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Vertical Distribute Bottom,,,,
Horizontal Distribute Left,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Horizontal Distribute Left,,,,
Horizontal Distribute Center,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Horizontal Distribute Center,,,,
Horizontal Distribute Right,FALSE,menu,TRUE,TRUE,27,,Object > Distribute > Horizontal Distribute Right,,,,
group,FALSE,menu,TRUE,TRUE,,,Object > Group,Objekt > Gruppieren,Объект > Сгруппировать,,
ungroup,FALSE,menu,TRUE,TRUE,,,Object > Ungroup,Objekt > Gruppierung aufheben,Объект > Разгруппировать,,
ungroup all,FALSE,menu,TRUE,TRUE,29.3,,Object > Ungroup All,,,,
lock,FALSE,menu,TRUE,TRUE,,,Object > Lock > Selection,Objekt > Sperren > Auswahl,Объект > Закрепить > Выделенное,,
Selection Hat 5,FALSE,menu,TRUE,TRUE,,,Object > Lock > All Artwork Above,Objekt > Sperren > Sämtliches Bildmaterial darüber,Объект > Закрепить > Все объекты выше,,
Selection Hat 7,FALSE,menu,TRUE,TRUE,,,Object > Lock > Other Layers,Objekt > Sperren > Andere Ebenen,Объект > Закрепить > Остальные слои,,
unlockAll,FALSE,menu,TRUE,FALSE,,,Object > Unlock All,Objekt > Alle entsperren,Объект > Освободить все,,
hide,FALSE,menu,TRUE,TRUE,,,Object > Hide > Selection,Objekt > Ausblenden > Auswahl,Объект > Скрыть > Выделенное,,
Selection Hat 4,FALSE,menu,TRUE,TRUE,,,Object > Hide > All Artwork Above,Objekt > Ausblenden > Sämtliches Bildmaterial darüber,Объект > Скрыть > Все объекты выше,,
Selection Hat 6,FALSE,menu,TRUE,TRUE,,,Object > Hide > Other Layers,Objekt > Ausblenden > Andere Ebenen,Объект > Скрыть > Остальные слои,,
showAll,FALSE,menu,TRUE,FALSE,,,Object > Show All,Objekt > Alles einblenden,Объект > Показать все,,
Crop Image,FALSE,menu,TRUE,TRUE,23,,Object > Crop Image,Objekt > Bild zuschneiden,Объект > Обрезать изображение,,
Rasterize 8 menu item,FALSE,menu,TRUE,TRUE,,,Object > Rasterize...,Objekt > In Pixelbild umwandeln …,Объект > Растрировать...,,
make mesh,FALSE,menu,TRUE,TRUE,,,Object > Create Gradient Mesh...,Objekt > Verlaufsgitter erstellen …,Объект > Создать сетчатый градиент...,,
AI Object Mosaic Plug-in4,FALSE,menu,TRUE,TRUE,,,Object > Create Object Mosaic...,Objekt > Objektmosaik erstellen …,Объект > Создать фрагментацию...,,
TrimMark v25,FALSE,menu,TRUE,TRUE,,,Object > Create Trim Marks...,Objekt > Schnittmarken erstellen,Объект > Создать метки обреза,,
Flatten Transparency,FALSE,menu,TRUE,TRUE,,,Object > Flatten Transparency...,Objekt > Transparenz reduzieren …,Объект > Обработка прозрачности...,,
Make Pixel Perfect,FALSE,menu,TRUE,TRUE,,,Object > Make Pixel Perfect,Objekt > Pixelgenaue Darstellung anwenden,Объект > Коррекция на уровне пикселов,,
AISlice Make Slice,FALSE,menu,TRUE,TRUE,,,Object > Slice > Make,Objekt > Slice > Erstellen,Объект > Фрагменты > Создать,,
AISlice Release Slice,FALSE,menu,TRUE,TRUE,,,Object > Slice > Release,Objekt > Slice > Zurückwandeln,Объект > Фрагменты > Расформировать,,
AISlice Create from Guides,FALSE,menu,TRUE,FALSE,,,Object > Slice > Create from Guides,Objekt > Slice > Aus Hilfslinien erstellen,Объект > Фрагменты > Создать по направляющим,,
AISlice Create from Selection,FALSE,menu,TRUE,TRUE,,,Object > Slice > Create from Selection,Objekt > Slice > Aus Auswahl erstellen,Объект > Фрагменты > Создать по выделенной области,,
AISlice Duplicate,FALSE,menu,TRUE,TRUE,,,Object > Slice > Duplicate Slice,Objekt > Slice > Slice duplizieren,Объект > Фрагменты > Создать дубликат фрагмента,,
AISlice Combine,FALSE,menu,TRUE,TRUE,,,Object > Slice > Combine Slices,Objekt > Slice > Slices kombinieren,Объект > Фрагменты > Объединить фрагменты,,
AISlice Divide,FALSE,menu,TRUE,TRUE,,,Object > Slice > Divide Slices...,Objekt > Slice > Slices unterteilen …,Объект > Фрагменты > Разделить фрагменты...,,
AISlice Delete All Slices,FALSE,menu,TRUE,TRUE,,,Object > Slice > Delete All,Objekt > Slice > Alle löschen,Объект > Фрагменты > Удалить все,,
AISlice Slice Options,FALSE,menu,TRUE,TRUE,,,Object > Slice > Slice Options...,Objekt > Slice > Slice-Optionen …,Объект > Фрагменты > Параметры фрагмента...,,
AISlice Clip to Artboard,FALSE,menu,TRUE,TRUE,,,Object > Slice > Clip to Artboard,Objekt > Slice > Ganze Zeichenfläche exportieren,Объект > Фрагменты > Обрезать по монтажной области,,
Generate Modal File Menu ,FALSE,menu,TRUE,FALSE,28.6,,Object > Generate Vectors...,,,,Note that there is a space after 'Menu'
Expand3,FALSE,menu,TRUE,TRUE,,,Object > Expand...,Objekt > Umwandeln …,Объект > Разобрать…,,
expandStyle,FALSE,menu,TRUE,TRUE,,,Object > Expand Appearance,Objekt > Aussehen umwandeln,Объект > Разобрать оформление,,
join,FALSE,menu,TRUE,TRUE,,,Object > Path > Join,Objekt > Pfad > Zusammenfügen,Объект > Контур > Соединить,,
average,FALSE,menu,TRUE,TRUE,,,Object > Path > Average...,Objekt > Pfad > Durchschnitt berechnen …,Объект > Контур > Усреднить…,,
OffsetPath v22,FALSE,menu,TRUE,TRUE,,,Object > Path > Outline Stroke,Objekt > Pfad > Konturlinie,Объект > Контур > Преобразовать обводку в кривые,,
OffsetPath v23,FALSE,menu,TRUE,TRUE,,,Object > Path > Offset Path...,Objekt > Pfad > Pfad verschieben …,Объект > Контур > Создать параллельный контур…,,
Reverse Path Direction,FALSE,menu,TRUE,TRUE,21,,Object > Path > Reverse Path Direction,Objekt > Pfad > Pfadrichtung umkehren,Объект > Контур > Изменение направления контура,,
simplify menu item,FALSE,menu,TRUE,TRUE,,,Object > Path > Simplify...,Objekt > Pfad > Vereinfachen …,Объект > Контур > Упростить…,,
Add Anchor Points2,FALSE,menu,TRUE,TRUE,,,Object > Path > Add Anchor Points,Objekt > Pfad > Ankerpunkte hinzufügen,Объект > Контур > Добавить опорные точки,,
Remove Anchor Points menu,FALSE,menu,TRUE,TRUE,,,Object > Path > Remove Anchor Points,Objekt > Pfad > Ankerpunkte entfernen,Объект > Контур > Удалить опорные точки,,
Knife Tool2,FALSE,menu,TRUE,TRUE,,,Object > Path > Divide Objects Below,Objekt > Pfad > Darunter liegende Objekte aufteilen,Объект > Контур > Разделить нижние объекты,,
Rows and Columns....,FALSE,menu,TRUE,TRUE,,,Object > Path > Split Into Grid...,Objekt > Pfad > In Raster teilen …,Объект > Контур > Создать сетку...,,
cleanup menu item,FALSE,menu,TRUE,FALSE,,,Object > Path > Clean Up...,Objekt > Pfad > Aufräumen …,Объект > Контур > Вычистить…,,
smooth menu item,FALSE,menu,TRUE,TRUE,28,,Object > Path > Smooth,,,,
Convert to Shape,FALSE,menu,TRUE,TRUE,18,,Object > Shape > Convert to Shapes,Objekt > Form > In Form umwandeln,Объект > Фигура > Преобразовать в фигуры,,
Expand Shape,FALSE,menu,TRUE,TRUE,18,,Object > Shape > Expand Shapes,Objekt > Form > Form umwandeln,Объект > Фигура > Разобрать фигуру,,
Shape Fill Object Menu,FALSE,menu,TRUE,TRUE,28.6,,Object > Gen Shape Fill...,,,,
Gen Expand Object Make,FALSE,menu,TRUE,TRUE,29.6,,Object > Generative Expand... > Make...,,,,
Gen Expand Object Combine,FALSE,menu,TRUE,TRUE,29.6,,Object > Generative Expand... > Combine,,,,
Gen Bleed Object Menu,FALSE,menu,TRUE,TRUE,29.6,,Object > Print Bleed...,,,,
Adobe Make Pattern,FALSE,menu,TRUE,FALSE,,,Object > Pattern > Make,Objekt > Muster > Erstellen,Объект > Узор > Создать,,
Adobe Edit Pattern,FALSE,menu,TRUE,TRUE,,,Object > Pattern > Edit Pattern,Objekt > Muster > Muster bearbeiten,Объект > Узор > Редактировать узор,,
Adobe Pattern Tile Color,FALSE,menu,FALSE,FALSE,,,Object > Pattern > Tile Edge Color...,Objekt > Muster > Farbe für Musterelement-Kante,Объект > Узор > Цвет края элемента...,,
Adobe Generative Patterns Panel,FALSE,menu,TRUE,FALSE,28.6,,Object > Pattern > Generate Patterns,,,,
Partial Rearrange Make,FALSE,menu,TRUE,TRUE,27,,Object > Intertwine > Make,Objekt > Verflechtung > Erstellen,,,
Partial Rearrange Release,FALSE,menu,TRUE,TRUE,27,,Object > Intertwine > Release,Objekt > Verflechtung > Zurückwandeln,,,
Partial Rearrange Edit,FALSE,menu,TRUE,TRUE,27,,Object > Intertwine > Edit,Objekt > Verflechtung > Bearbeiten,,,
Make Radial Repeat,FALSE,menu,TRUE,TRUE,25.1,,Object > Repeat > Make Radial,Objekt > Wiederholen > Radial,Объект > Повторить > Радиальный,,
Make Grid Repeat,FALSE,menu,TRUE,TRUE,25.1,,Object > Repeat > Make Grid,Objekt > Wiederholen > Raster,Объект > Повторить > Сетка,,
Make Symmetry Repeat,FALSE,menu,TRUE,TRUE,25.1,,Object > Repeat > Make Symmetry,Objekt > Wiederholen > Spiegeln,Объект > Повторить > Зеркально,,
Release Repeat Art,FALSE,menu,TRUE,TRUE,25.1,,Object > Repeat > Release,Objekt > Wiederholen > Zurückwandeln,Объект > Повторить > Освободить,,
Repeat Art Options,FALSE,menu,TRUE,FALSE,25.1,,Object > Repeat > Repeat Options...,Objekt > Wiederholen > Optionen …,Объект > Повторить > Параметры…,,
Attach Objects on Path,FALSE,menu,TRUE,TRUE,29,,Object > Objects on Path > Attach...,,,,
Options Objects on Path,FALSE,menu,TRUE,TRUE,29,,Object > Objects on Path > Options...,,,,
Expand Objects on Path,FALSE,menu,TRUE,TRUE,29,,Object > Objects on Path > Expand,,,,
Path Blend Make,FALSE,menu,TRUE,TRUE,,,Object > Blend > Make,Objekt > Angleichen > Erstellen,Объект > Переход > Создать,,
Path Blend Release,FALSE,menu,TRUE,TRUE,,,Object > Blend > Release,Objekt > Angleichen > Zurückwandeln,Объект > Переход > Отменить,,
Path Blend Options,FALSE,menu,FALSE,FALSE,,,Object > Blend > Blend Options...,Objekt > Angleichen > Angleichung-Optionen …,Объект > Переход > Параметры перехода…,,
Path Blend Expand,FALSE,menu,TRUE,TRUE,,,Object > Blend > Expand,Objekt > Angleichen > Umwandeln,Объект > Переход > Разобрать,,
Path Blend Replace Spine,FALSE,menu,TRUE,TRUE,,,Object > Blend > Replace Spine,Objekt > Angleichen > Achse ersetzen,Объект > Переход > Заменить траекторию,,
Path Blend Reverse Spine,FALSE,menu,TRUE,TRUE,,,Object > Blend > Reverse Spine,Objekt > Angleichen > Achse umkehren,Объект > Переход > Изменить направление,,
Path Blend Reverse Stack,FALSE,menu,TRUE,TRUE,,,Object > Blend > Reverse Front to Back,Objekt > Angleichen > Farbrichtung umkehren,Объект > Переход > Изменить порядок,,
Make Warp,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Make with Warp...,Objekt > Verzerrungshülle > Mit Verkrümmung erstellen …,Объект > Искажение с помощью оболочки > Деформация...,,
Create Envelope Grid,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Make with Mesh...,Objekt > Verzerrungshülle > Mit Gitter erstellen …,Объект > Искажение с помощью оболочки > По сетке...,,
Make Envelope,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Make with Top Object,Objekt > Verzerrungshülle > Mit oberstem Objekt erstellen,Объект > Искажение с помощью оболочки > По форме верхнего объекта,,
Release Envelope,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Release,Objekt > Verzerrungshülle > Zurückwandeln,Объект > Искажение с помощью оболочки > Отделить,,
Envelope Options,FALSE,menu,FALSE,FALSE,,,Object > Envelope Distort > Envelope Options...,Objekt > Verzerrungshülle > Hüllen-Optionen …,Объект > Искажение с помощью оболочки > Параметры оболочки...,,
Expand Envelope,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Expand,Objekt > Verzerrungshülle > Umwandeln,Объект > Искажение с помощью оболочки > Разобрать,,
Edit Envelope Contents,FALSE,menu,TRUE,TRUE,,,Object > Envelope Distort > Edit Contents,Objekt > Verzerrungshülle > Inhalt bearbeiten,Объект > Искажение с помощью оболочки > Редактировать содержимое,,
Attach to Active Plane,FALSE,menu,TRUE,TRUE,,,Object > Perspective > Attach to Active Plane,Objekt > Perspektive > Aktiver Ebene anhängen,Объект > Перспектива > Прикрепить к активной плоскости,,
Release with Perspective,FALSE,menu,TRUE,TRUE,,,Object > Perspective > Release with Perspective,Objekt > Perspektive > Aus Perspektive freigeben,Объект > Перспектива > Открепить с сохранением перспективы,,
Show Object Grid Plane,FALSE,menu,TRUE,TRUE,,,Object > Perspective > Move Plane to Match Object,Objekt > Perspektive > Ebene an Objekt ausrichten,Объект > Перспектива > Переместить плоскость для подгонки по объекту,,
Edit Original Object,FALSE,menu,TRUE,TRUE,,,Object > Perspective > Edit Text,Objekt > Perspektive > Text bearbeiten,Объект > Перспектива > Редактировать текст,,
Make Planet X,FALSE,menu,TRUE,TRUE,,,Object > Live Paint > Make,Objekt > Interaktiv malen > Erstellen,Объект > Быстрая заливка > Создать,,
Marge Planet X,FALSE,menu,TRUE,TRUE,,,Object > Live Paint > Merge,Objekt > Interaktiv malen > Zusammenfügen,Объект > Быстрая заливка > Объединить,,
Release Planet X,FALSE,menu,TRUE,TRUE,,,Object > Live Paint > Release,Objekt > Interaktiv malen > Zurückwandeln,Объект > Быстрая заливка > Расформировать,,
